Company,year,cash_ratio,quick_ratio,current_ratio,lt_debt_to_equity,lt_debt_to_assets,liab_to_equity,liab_to_assets,st_debt_to_equity,st_debt_to_assets,ap_to_equity,ap_to_assets,assets_to_liab,ebitda_coverage,pe_basic,pe_diluted,pb_ratio,ps_ratio,pb_tangible,market_cap,price_to_cfo,ev,ev_to_revenue,ev_to_ebitda,ev_to_ebit,eps_diluted,Financial_Distress
AAA,2018,0.20132689490688402,0.9752087880683853,1.2443046721541657,0.45056751038559395,0.17834694586141828,1.5263539457283468,0.6041726450520375,0.8363078830465714,0.33103353726845436,0.2089685874682499,0.08271548324476931,1.6551560355961994,0.09383078192142846,9.937219730941704,,0.6364887641774513,0.23676946157985185,0.6551718910477574,1896895734080.0,7.720834808619054,5086631473278.0,0.6349104874587523,20.70384820415527,20.70384820415527,1115.0,0
AAA,2019,0.0901163489503805,1.158563874462536,1.535961690465798,0.42132404548049457,0.17170804330490694,1.4537234096386344,0.5924561032136575,0.7372998325095711,0.30048204684086827,0.18568385359456052,0.0756743212642319,1.6878887643754594,0.3191753404159825,3.6617100371747213,3.6617100371747213,0.5180326794942881,0.1821458647470582,0.531410991540641,1686319763600.0,2.8562251557266753,5166241781767.0,0.5580255875216934,6.16498496054925,8.750386525831681,2690.0,0
AAA,2020,0.2554358082089696,0.9407359662794662,1.1916903320004182,0.15336794371409185,0.07201738870016698,1.1295960112163335,0.5304273699175257,0.731457934805002,0.34347262624107977,0.13481227071116453,0.06330415252523204,1.8852722478394854,0.18680789058841785,9.335877862595419,9.335877862595419,0.6739934852747896,0.36509438865819027,0.6902786146419962,2712124482020.0,8.722812554422715,5308913477439.0,0.7146628163030334,9.037415055896181,17.074679808523396,1310.0,0
AAA,2021,0.6057175953029053,1.3274756560426257,1.6313396712892914,0.21560607645845448,0.11748785818559451,0.8351349644817211,0.4550809507994852,0.40026188180014927,0.21811032406174619,0.11180638225934454,0.06092542751531134,2.1974112479179855,0.2867350309689491,23.862238622386222,23.862238622386222,1.1610535396492268,0.4818364365762193,1.1860539053593002,6332829222400.0,15.632696443653973,7703837426178.0,0.5861502723399448,11.507155249227575,19.017053469359194,813.0,0
AAA,2022,0.5123926304660774,1.2065145294328732,1.7647871236772965,0.20131767885242707,0.11507854564257526,0.7493936661113503,0.42837337337406983,0.3059090461996651,0.17486575613347036,0.12227114384612954,0.0698934414904569,2.3344121323963964,0.23107471447255915,15.150115473441108,15.150115473441108,0.4063596414819961,0.16400732319151137,0.41372725354280354,2507720693760.0,13.389208499314979,3994932810310.0,0.26127241290436565,8.386359176170812,21.329723230777812,433.0,0
AAA,2023,0.6516006006720039,1.3111709968308665,1.5203418863090534,0.06017177901374245,0.030980136618135038,0.9422696470137361,0.48513842990981576,0.44023309482913564,0.22665910240938975,0.08675269337603185,0.044665627921136083,2.06126733803771,0.2397624557226753,13.932411674347158,13.932411674347158,0.5813723525322103,0.2747079026257796,0.6012233625310683,3467229678720.0,9.404352677619501,4016521481698.0,0.3182281805155689,5.948959107465811,10.894226241472253,651.0,0
AAA,2024,0.5854719138472361,1.2437528282931762,1.5550447850643356,0.21481107837903826,0.09729806486081598,1.2077631110785565,0.5470528540938113,0.4096765703482341,0.18556183328386858,0.14006586765448129,0.06344243499297125,1.8279769358967919,0.2987288442093769,10.120918984280532,10.120918984280532,0.5130687900389911,0.25031918460854813,0.5390292671305407,3199637531520.0,6.2290578637339955,4674595684268.0,0.3657104808070944,5.764957854686195,9.100508016929597,827.0,0
AAM,2018,0.7280289187338637,7.880793848624639,12.15691567602969,0.0,0.0,0.08635706528814133,0.079492340085473,0.0,0.0,0.029226422481892306,0.02690314576648001,12.579828432837232,,10.317820658342793,10.317820658342793,0.4266625347649974,0.4137904903561375,0.47585386546987657,90315522090.0,8.494592422679384,79216734359.0,0.36294017458214856,7.450700121788633,7.450700121788633,881.0,0
AAM,2019,0.9184905904647035,4.918270836152456,12.366204853673771,0.0,0.0,0.0761181143009788,0.07073397732963853,0.0,0.0,0.03227038896449779,0.029987776003064386,14.137477316449248,77.00999415375954,16.47142857142857,16.47142857142857,0.6733384020564357,0.6586750111294691,0.7485668320563725,142354118830.0,20.049264236502722,128560725610.0,0.5948527381431397,11.145063567031842,18.106592063342635,700.0,0
AAM,2020,1.6937118915353626,3.3467887170989385,11.047840247335431,0.0,0.0,0.08613188277238507,0.07930149564575048,0.03906794911299732,0.03596980231652456,0.016545080654119138,0.015233031012667916,12.610102645063881,-1.3631661225212137,-9.19650655021834,-9.19650655021834,0.6697941862903571,1.0754524574084856,0.7493662558664166,130007707830.0,-9.90510716415774,111332087177.0,0.9209636008619135,-10.472043577364756,-8.482237497329907,-1145.0,0
